id	sentiment	review
0	0	can you suggest some tourist places in kerala
2	1	show me the best place for boating
3	2	can you find me room to stay in
4	3	which is the best view in this area
5	4	can you give the list of hotels
6	4	please give me a list of hotels in this area
1	3	best views
7	2	room to stay
8	0	can you give me a list of tourist places
9	0	list of tourist places
10	2	find good place to stay in
11	2	suggest a place to stay in
12	2	suggest some places to stay in
13	0	list of tourist places in here
14	1	places to boat
15	1	where can i do boating
16	1	where to do boating
17	0	tourist places
18	3	what are the best views in here
19	4	hotels in here
20	4	go to hotel
21	3	views
22	3	view
23	4	list of hotels
24	4	hotels in here
25	4	hotels
26	0	tourist places
27	0	tourist 
28	2	stay
29	2	to stay
30	1	boating
31	1	go for boating
32	1	go for boating
33	1	go for boating
34	4	hotels
35	2	stay
36	3	views
37	0	tourist 
38	0	tourist places
39	0	tourist 
40	2	stay
41	2	to stay
42	1	boating
43	1	go for boating
44	1	go for boating
45	1	go for boating
46	4	hotels
47	2	stay
48	3	views
49	0	tourist 
